tone	duration	order1	voice	order2	tonx	tony	abs.tone	rel.tone	tonx_m1	tony_m1	abs.tone_m1	rel.tone_m1	tonx_m2	tony_m2	abs.tone_m2	rel.tone_m2	tonx_p1	tony_p1	abs.tone_p1	rel.tone_p1	tonx_p2	tony_p2	abs.tone_p2	rel.tone_p2
D5	2	37	strings_v1	94	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3	4	12	40	3
C5	2	38	strings_v1	95	4	12	40	3	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3
C5	2	38	strings_v1	96	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3	4	12	40	3
C5	4	40	strings_v1	97	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	40	strings_v1	98	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	40	strings_v1	99	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	1	15	49	12
C5	4	40	strings_v1	100	4	12	40	3	4	12	40	3	4	12	40	3	1	15	49	12	1	15	49	12
A5	4	41	strings_v1	101	1	15	49	12	4	12	40	3	4	12	40	3	1	15	49	12	1	15	49	12
A5	4	41	strings_v1	102	1	15	49	12	1	15	49	12	4	12	40	3	1	15	49	12	1	15	49	12
A5	4	41	strings_v1	103	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	4	41	strings_v1	104	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	2	43	strings_v1	109	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10
A5	2	43	strings_v1	110	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	2	44	strings_v1	111	4	14	47	10	1	15	49	12	1	15	49	12	4	14	47	10	2	14	46	9
G5	2	44	strings_v1	112	4	14	47	10	4	14	47	10	1	15	49	12	2	14	46	9	2	14	46	9
Fs5	4	46	strings_v1	113	2	14	46	9	4	14	47	10	4	14	47	10	2	14	46	9	2	14	46	9
Fs5	4	46	strings_v1	114	2	14	46	9	2	14	46	9	4	14	47	10	2	14	46	9	2	14	46	9
Fs5	4	46	strings_v1	115	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9
Fs5	4	46	strings_v1	116	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9
Fs5	2	47	strings_v1	117	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9	3	13	43	6
Fs5	2	47	strings_v1	118	2	14	46	9	2	14	46	9	2	14	46	9	3	13	43	6	3	13	43	6
Ef5	2	48	strings_v1	119	3	13	43	6	2	14	46	9	2	14	46	9	3	13	43	6	1	13	42	5
Ef5	2	48	strings_v1	120	3	13	43	6	3	13	43	6	2	14	46	9	1	13	42	5	1	13	42	5
D5	4	49	strings_v1	121	1	13	42	5	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	4	49	strings_v1	122	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5	1	13	42	5
D5	4	49	strings_v1	123	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	49	strings_v1	124	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	2	50	strings_v1	125	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	4	12	40	3
D5	2	50	strings_v1	126	1	13	42	5	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3
C5	2	51	strings_v1	127	4	12	40	3	1	13	42	5	1	13	42	5	4	12	40	3	7	11	38	1
C5	2	51	strings_v1	128	4	12	40	3	4	12	40	3	1	13	42	5	7	11	38	1	7	11	38	1
Bf4	4	53	strings_v1	129	7	11	38	1	4	12	40	3	4	12	40	3	7	11	38	1	7	11	38	1
Bf4	4	53	strings_v1	130	7	11	38	1	7	11	38	1	4	12	40	3	7	11	38	1	7	11	38	1
Bf4	4	53	strings_v1	131	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1
Bf4	4	53	strings_v1	132	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1
Bf4	4	54	strings_v1	133	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1
Bf4	4	54	strings_v1	134	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1
Bf4	4	54	strings_v1	135	7	11	38	1	7	11	38	1	7	11	38	1	7	11	38	1	3	15	50	1
Bf4	4	54	strings_v1	136	7	11	38	1	7	11	38	1	7	11	38	1	3	15	50	1	3	15	50	1
Bf5	2	56	strings_v1	141	3	15	50	1	7	11	38	1	7	11	38	1	3	15	50	1	1	15	49	12
Bf5	2	56	strings_v1	142	3	15	50	1	3	15	50	1	7	11	38	1	1	15	49	12	1	15	49	12
A5	2	57	strings_v1	143	1	15	49	12	3	15	50	1	3	15	50	1	1	15	49	12	1	15	49	12
A5	2	57	strings_v1	144	1	15	49	12	1	15	49	12	3	15	50	1	1	15	49	12	1	15	49	12
A5	4	59	strings_v1	145	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	4	59	strings_v1	146	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	4	59	strings_v1	147	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	7	15	52	3
A5	4	59	strings_v1	148	1	15	49	12	1	15	49	12	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	60	strings_v1	149	7	15	52	3	1	15	49	12	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	60	strings_v1	150	7	15	52	3	7	15	52	3	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	60	strings_v1	151	7	15	52	3	7	15	52	3	7	15	52	3	7	15	52	3	2	14	46	9
C6	4	60	strings_v1	152	7	15	52	3	7	15	52	3	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	61	strings_v1	153	2	14	46	9	7	15	52	3	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	61	strings_v1	154	2	14	46	9	2	14	46	9	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	61	strings_v1	155	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9	1	15	49	12
Fs5	4	61	strings_v1	156	2	14	46	9	2	14	46	9	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	62	strings_v1	157	1	15	49	12	2	14	46	9	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	62	strings_v1	158	1	15	49	12	1	15	49	12	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	62	strings_v1	159	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10
A5	4	62	strings_v1	160	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	64	strings_v1	161	4	14	47	10	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	64	strings_v1	162	4	14	47	10	4	14	47	10	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	64	strings_v1	163	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10	1	13	42	5
G5	4	64	strings_v1	164	4	14	47	10	4	14	47	10	4	14	47	10	1	13	42	5	1	13	42	5
D5	4	65	strings_v1	165	1	13	42	5	4	14	47	10	4	14	47	10	1	13	42	5	1	13	42	5
